box_x,box_y,timestamp,density
18,20,137,1
19,9,56,1
19,9,57,1
19,9,58,1
19,9,60,1
19,9,61,1
19,9,63,2
19,9,64,1
19,9,65,1
19,9,67,1
19,9,72,1
19,9,74,2
19,9,75,1
19,9,80,3
19,9,83,2
19,9,84,2
19,9,85,2
19,9,86,1
19,9,88,1
19,9,89,1
19,9,90,2
19,9,93,1
19,9,95,1
19,9,97,1
19,9,98,1
19,9,99,3
19,9,100,1
19,9,102,1
19,9,104,1
19,9,105,1
19,9,106,2
19,9,107,2
19,9,108,1
19,9,110,1
19,9,114,1
19,9,116,2
19,9,120,5
19,9,122,1
19,9,123,1
19,9,127,1
19,9,129,1
19,9,132,1
19,9,140,1
19,10,2,1
19,10,5,1
19,10,8,2
19,10,19,1
19,10,41,1
19,10,44,1
19,10,47,1
19,10,51,1
19,10,52,2
19,10,57,1
19,10,58,2
19,10,62,3
19,10,63,2
19,10,66,1
19,10,67,3
19,10,68,1
19,10,69,3
19,10,70,1
19,10,71,5
19,10,72,3
19,10,75,2
19,10,76,1
19,10,77,3
19,10,79,1
19,10,80,4
19,10,82,3
19,10,84,3
19,10,85,6
19,10,86,2
19,10,87,5
19,10,89,1
19,10,90,5
19,10,91,1
19,10,92,2
19,10,94,1
19,10,95,2
19,10,96,2
19,10,97,2
19,10,98,4
19,10,99,7
19,10,102,1
19,10,103,4
19,10,104,5
19,10,105,2
19,10,106,4
19,10,107,2
19,10,108,2
19,10,110,1
19,10,111,1
19,10,112,2
19,10,113,2
19,10,115,1
19,10,116,2
19,10,118,2
19,10,119,2
19,10,120,1
19,10,123,1
19,10,124,2
19,10,133,1
19,10,137,1
19,10,139,1
19,10,143,1
19,11,62,1
19,11,63,1
19,11,67,1
19,11,70,1
19,11,71,1
19,11,80,3
19,11,81,1
19,11,90,1
19,11,92,1
19,11,94,1
19,11,103,1
19,11,108,3
19,11,109,2
19,11,122,1
19,11,125,1
19,11,126,3
19,11,127,2
19,11,130,2
19,11,132,1
19,11,134,1
19,12,1,2
19,12,4,1
19,12,16,1
19,12,29,2
19,12,59,1
19,12,61,2
19,12,65,3
19,12,66,2
19,12,69,3
19,12,70,2
19,12,72,3
19,12,73,1
19,12,76,1
19,12,77,1
19,12,81,2
19,12,82,1
19,12,83,2
19,12,85,2
19,12,86,1
19,12,87,2
19,12,88,2
19,12,91,3
19,12,92,6
19,12,93,1
19,12,94,5
19,12,95,1
19,12,97,1
19,12,98,2
19,12,102,1
19,12,103,1
19,12,107,1
19,12,109,1
19,12,112,5
19,12,113,2
19,12,114,1
19,12,115,2
19,12,116,1
19,12,117,3
19,12,118,1
19,12,120,1
19,12,121,1
19,12,128,1
19,12,130,1
19,12,135,1
19,12,139,2
19,13,1,1
19,13,14,1
19,13,46,1
19,13,56,1
19,13,60,1
19,13,63,2
19,13,71,3
19,13,72,1
19,13,73,1
19,13,75,3
19,13,76,1
19,13,84,2
19,13,89,4
19,13,90,1
19,13,91,1
19,13,96,1
19,13,101,4
19,13,102,2
19,13,108,5
19,13,109,1
19,13,118,2
19,13,120,1
19,13,121,1
19,13,123,1
19,13,127,1
19,13,132,4
19,13,138,1
19,13,140,1
